Borrower_ID,Age,Marital_Status,Employment_Status,Annual_Income,Debt_to_Income_Ratio,Credit_Score,Loan_Amount,Loan_Term_Months,Interest_Rate,Loan_Purpose,Missed_Payments_Last_12M,Credit_Utilization_Ratio,Overdraft_Frequency,Delinquent
101,62,Divorced,Self-Employed,69925,49.79,843,24326,48,12.58,Education,0,73.45,0,1
102,63,Divorced,Unemployed,76370,28.06,533,32119,36,17.41,Education,3,68.37,2,1
103,49,Married,Self-Employed,69060,48.14,785,9399,12,17.48,Personal,3,17.73,5,1
104,45,Single,Employed,96869,48.26,637,48909,12,11.16,Education,6,83.27,0,1
105,40,Divorced,Self-Employed,66090,14.14,819,18942,24,14.85,Home,6,18.66,4,1
106,45,Single,Self-Employed,95248,19.05,739,41763,60,14.2,Personal,4,84.33,5,1
107,39,Single,Unemployed,55818,38.11,616,27270,36,5.09,Home,4,62.59,0,1
108,31,Divorced,Employed,32026,39.84,520,29654,48,11.8,Home,2,34.93,2,1
109,58,Divorced,Employed,135781,12.1,461,45490,12,15.11,Auto,3,62.96,3,1
110,60,Married,Contract,55804,18.62,824,12459,36,11.45,Auto,5,64.28,3,1
111,55,Divorced,Self-Employed,25952,18.82,356,5503,24,9.52,Home,6,20.98,2,1
112,40,Married,Employed,21013,29.9,740,16514,24,10.7,Home,4,54.7,5,1
113,44,Single,Contract,132953,39.68,746,6228,48,18.82,Auto,4,44.34,3,1
114,62,Married,Self-Employed,35096,26.2,632,16263,60,11.9,Auto,0,44.94,0,0
115,37,Married,Contract,88676,13.15,617,27250,24,10.0,Home,0,50.84,0,0
116,55,Divorced,Unemployed,138741,41.05,659,47299,24,8.54,Home,2,25.78,4,1
117,31,Divorced,Employed,43218,48.05,805,35405,60,16.4,Education,5,83.93,4,1
118,63,Divorced,Self-Employed,133278,48.84,623,14893,48,6.02,Education,5,34.23,2,1
119,59,Single,Self-Employed,86497,12.97,772,34616,12,5.85,Auto,0,61.57,0,0
120,61,Divorced,Contract,80648,33.21,342,34473,60,14.78,Auto,4,48.05,1,1
121,25,Married,Employed,126295,45.97,651,10526,60,14.69,Personal,1,66.61,3,1
122,55,Divorced,Unemployed,67696,24.91,589,30389,48,16.62,Personal,6,60.47,2,1
123,26,Married,Employed,93133,37.14,590,21514,60,18.1,Auto,0,56.62,1,1
124,44,Married,Contract,36901,33.8,386,25288,60,10.65,Auto,6,20.22,5,1
125,65,Divorced,Employed,104675,36.82,820,28712,12,10.44,Home,1,37.34,3,0
126,34,Single,Unemployed,40308,13.09,403,38271,60,17.53,Personal,5,36.94,4,1
127,30,Divorced,Contract,40218,16.49,469,33683,12,11.16,Home,3,58.85,5,1
128,50,Single,Unemployed,60562,48.62,780,17715,36,15.17,Education,3,71.56,3,1
129,54,Divorced,Contract,146650,16.48,504,44627,24,18.1,Personal,5,48.45,2,1
130,57,Single,Employed,57363,13.36,464,22877,48,18.58,Home,6,45.0,1,1
131,50,Married,Employed,74381,12.13,814,29507,24,10.79,Personal,2,27.96,2,0
132,28,Divorced,Self-Employed,123727,15.84,339,23800,48,15.44,Home,6,66.44,3,1
133,61,Single,Employed,22490,20.24,453,40966,60,12.92,Personal,6,33.05,2,1
134,29,Single,Unemployed,75027,35.56,768,9116,12,17.55,Education,4,52.88,5,1
135,54,Divorced,Unemployed,114181,15.74,739,5102,60,10.29,Education,1,63.15,0,0
136,55,Married,Employed,144964,31.04,819,38267,60,5.31,Education,0,60.85,2,0
137,38,Divorced,Employed,66805,41.54,653,20802,12,16.57,Auto,1,13.55,4,1
138,43,Divorced,Unemployed,128840,41.17,775,36361,24,17.17,Personal,5,72.1,3,1
139,24,Married,Unemployed,25741,41.64,342,25682,36,12.73,Education,2,12.93,5,1
140,34,Married,Self-Employed,133002,41.23,639,22905,12,16.99,Education,3,69.46,3,1
141,43,Single,Contract,110710,29.9,831,22479,12,15.91,Personal,3,58.2,1,1
142,56,Married,Self-Employed,33447,13.2,602,25086,48,14.04,Education,1,65.18,2,0
143,50,Single,Self-Employed,100589,49.93,581,46908,12,6.13,Education,2,51.05,5,1
144,65,Single,Employed,38714,43.95,748,7280,24,6.01,Auto,2,40.63,4,1
145,24,Divorced,Unemployed,109006,28.0,679,29380,48,16.45,Home,4,39.36,2,1
146,63,Married,Unemployed,145897,14.54,490,37705,60,10.8,Personal,2,72.0,5,1
147,50,Single,Self-Employed,110961,46.66,802,18118,12,7.04,Personal,3,23.81,5,1
148,50,Single,Self-Employed,107535,23.9,366,41044,60,9.36,Auto,6,22.6,5,1
149,62,Single,Self-Employed,86683,18.97,505,14101,24,16.86,Personal,2,54.32,2,1
150,51,Divorced,Unemployed,100209,45.37,367,25269,48,19.99,Education,4,42.86,3,1
151,58,Single,Unemployed,147451,22.68,375,34489,48,15.2,Auto,1,80.24,4,1
152,62,Divorced,Unemployed,120634,48.65,743,37955,12,17.47,Home,2,23.17,2,1
153,36,Married,Self-Employed,130878,13.15,501,46619,60,9.12,Auto,4,52.68,4,1
154,63,Single,Unemployed,42439,36.35,645,41937,12,17.38,Personal,0,13.64,5,0
155,58,Married,Unemployed,120526,32.89,331,37639,60,9.35,Auto,3,29.59,5,1
156,47,Married,Contract,29564,37.54,461,33809,48,12.26,Home,2,58.53,2,1
157,42,Divorced,Self-Employed,147844,25.95,679,38749,60,6.59,Home,3,19.8,3,1
158,37,Single,Employed,26632,21.61,693,45329,48,8.72,Home,6,36.19,4,1
159,42,Single,Unemployed,85308,49.84,778,37686,36,12.46,Personal,3,50.44,1,1
160,35,Divorced,Self-Employed,26377,12.02,806,44158,48,9.29,Personal,6,18.6,1,1
161,38,Divorced,Self-Employed,120120,26.13,346,31252,12,13.55,Home,2,54.26,0,1
162,46,Divorced,Contract,120191,31.99,421,13432,12,10.91,Auto,4,85.12,1,1
163,34,Divorced,Contract,85546,11.61,339,13980,36,17.06,Education,1,58.5,4,1
164,30,Married,Self-Employed,41299,25.72,606,43910,36,12.61,Education,5,55.03,3,1
165,23,Married,Self-Employed,108317,14.38,726,43253,36,16.95,Personal,4,47.97,5,1
166,59,Divorced,Unemployed,114555,12.05,791,16174,60,14.44,Education,1,75.73,1,0
167,24,Divorced,Employed,45006,10.76,621,32445,24,11.19,Home,3,50.15,4,1
168,52,Divorced,Employed,112507,15.52,512,41758,36,19.97,Education,4,40.15,1,1
169,51,Divorced,Self-Employed,91601,24.17,570,44981,48,7.88,Home,2,54.65,1,1
170,41,Married,Unemployed,110471,38.2,624,36444,36,13.41,Auto,2,19.75,5,0
171,56,Married,Contract,127266,23.81,449,24035,12,9.31,Personal,2,83.92,5,1
172,38,Divorced,Contract,48047,18.08,577,41832,36,7.06,Home,1,14.06,4,1
173,36,Divorced,Unemployed,26880,14.01,638,35959,12,15.22,Home,0,87.16,1,0
174,48,Divorced,Contract,82580,36.02,594,26048,36,14.69,Personal,5,55.93,4,1
175,24,Single,Contract,135637,43.5,337,31017,48,7.79,Auto,0,10.74,4,1
176,60,Single,Self-Employed,57298,28.17,836,37369,24,17.77,Education,2,25.42,0,0
177,43,Single,Contract,104972,20.29,490,5923,36,16.86,Home,1,58.88,5,1
178,47,Married,Self-Employed,31368,26.03,397,17109,24,12.16,Home,0,30.86,1,1
179,50,Married,Self-Employed,59576,33.3,311,22141,36,15.39,Personal,5,19.46,2,1
180,32,Married,Self-Employed,110477,14.7,602,29087,60,8.31,Home,3,22.25,5,1
181,60,Married,Contract,112004,31.97,782,40226,24,16.43,Personal,4,45.74,5,1
182,45,Single,Employed,28094,43.15,817,18248,60,13.05,Home,2,78.36,3,1
183,29,Divorced,Unemployed,113967,33.33,393,38447,48,17.13,Education,1,51.06,3,1
184,58,Single,Contract,108181,42.28,322,30948,36,17.25,Home,4,15.84,3,1
185,44,Divorced,Employed,90931,49.76,370,35937,12,9.31,Home,6,20.83,5,1
186,63,Married,Self-Employed,136828,25.3,686,29618,12,15.24,Home,5,78.82,0,1
187,33,Divorced,Contract,89316,15.09,528,5227,12,19.68,Education,5,67.53,3,1
188,56,Married,Unemployed,52441,28.43,458,23064,24,19.06,Personal,0,74.76,3,1
189,61,Single,Unemployed,47011,12.69,334,34257,60,15.08,Personal,1,69.24,3,1
190,50,Single,Unemployed,118878,44.55,357,14183,60,19.9,Home,6,83.31,4,1
191,42,Divorced,Self-Employed,51051,22.07,446,48267,60,8.32,Auto,2,14.88,4,1
192,33,Divorced,Contract,92856,29.82,652,47160,48,16.79,Auto,5,43.31,1,1
193,41,Married,Unemployed,118882,31.52,546,19768,36,17.86,Home,6,47.04,0,1
194,57,Married,Contract,93044,31.2,697,20915,36,8.05,Personal,3,77.77,0,1
195,56,Divorced,Unemployed,26755,20.74,340,9769,24,17.07,Home,3,26.71,2,1
196,41,Single,Unemployed,142835,17.6,420,36386,24,15.43,Home,3,83.21,4,1
197,42,Married,Contract,81112,31.35,667,25212,36,10.39,Education,3,17.89,5,1
198,52,Married,Unemployed,68589,22.52,346,41865,24,16.12,Personal,2,54.26,4,1
199,59,Divorced,Contract,58691,16.1,637,20074,48,13.55,Home,3,54.05,5,1
200,43,Married,Contract,146682,38.94,802,35200,24,15.99,Auto,1,21.2,4,0
201,53,Single,Employed,88674,11.35,376,48792,12,16.47,Education,1,77.4,1,1
202,26,Divorced,Unemployed,21198,18.75,766,29458,12,14.27,Education,5,49.03,0,1
203,56,Divorced,Contract,21553,10.67,581,40110,36,5.26,Education,6,85.18,1,1
204,28,Single,Unemployed,51584,17.68,839,21542,36,9.01,Education,0,39.84,3,0
205,51,Divorced,Unemployed,149791,37.89,607,49829,12,14.81,Personal,0,42.42,3,0
206,57,Married,Employed,103459,10.38,475,10418,48,17.68,Auto,4,88.19,0,1
207,55,Single,Unemployed,47710,46.05,786,22766,12,18.86,Auto,4,55.08,0,1
208,33,Married,Employed,146021,18.29,447,31102,12,9.49,Home,4,76.77,3,1
209,65,Divorced,Self-Employed,70311,40.22,443,10139,60,16.18,Auto,0,17.81,1,1
210,26,Married,Contract,146998,40.94,330,46557,36,16.75,Education,3,28.25,4,1
211,46,Married,Unemployed,109088,33.44,689,10616,60,9.43,Home,5,15.88,2,1
212,31,Married,Unemployed,116948,25.58,669,11982,12,5.08,Auto,3,38.79,2,1
213,28,Single,Employed,44561,27.24,824,31741,12,5.39,Auto,4,17.45,4,1
214,42,Married,Employed,58253,26.55,386,41669,24,13.58,Home,5,40.46,1,1
215,39,Married,Self-Employed,84634,15.84,471,33486,36,11.32,Education,6,16.15,2,1
216,37,Divorced,Contract,97831,34.67,768,12010,24,9.57,Education,2,77.33,3,0
217,43,Married,Self-Employed,76441,42.62,439,24689,36,14.05,Home,3,35.13,3,1
218,42,Married,Contract,146846,33.04,548,26357,48,9.2,Education,2,19.11,4,1
219,34,Divorced,Unemployed,109353,40.7,327,35252,24,11.58,Auto,6,65.43,3,1
220,65,Married,Unemployed,103012,22.11,558,48166,24,15.73,Education,0,45.93,4,1
221,52,Divorced,Contract,90040,30.26,728,40628,12,16.86,Auto,5,81.64,4,1
222,60,Divorced,Employed,34335,40.76,663,15901,60,5.66,Education,6,36.53,3,1
223,28,Single,Employed,53913,18.88,831,41568,60,15.31,Home,3,39.93,3,1
224,65,Divorced,Unemployed,65215,49.91,794,11851,36,11.24,Personal,0,76.51,5,1
225,31,Married,Self-Employed,64966,28.21,511,39151,48,10.22,Personal,3,67.76,3,1
226,42,Single,Self-Employed,25856,42.41,417,6480,36,14.72,Home,5,29.51,1,1
227,57,Single,Self-Employed,93380,27.05,773,20194,48,14.45,Home,5,62.58,3,1
228,23,Divorced,Unemployed,78926,33.69,698,5291,24,8.09,Personal,4,18.14,4,1
229,33,Married,Self-Employed,45830,28.3,568,48955,48,12.92,Auto,4,41.09,3,1
230,59,Single,Self-Employed,66135,43.82,476,49144,36,18.78,Personal,5,20.72,0,1
231,37,Married,Employed,43992,24.93,444,38477,48,11.27,Home,4,40.7,1,1
232,53,Divorced,Unemployed,92733,16.67,595,14194,24,9.72,Education,4,14.29,2,1
233,22,Married,Unemployed,45575,42.61,817,47799,48,11.14,Education,3,66.81,3,1
234,53,Single,Employed,94107,11.23,525,24142,12,9.12,Auto,1,72.46,4,1
235,53,Divorced,Employed,95066,14.57,675,40523,12,16.4,Education,4,27.48,3,1
236,28,Divorced,Unemployed,59021,44.99,333,34473,36,10.23,Personal,3,79.22,0,1
237,37,Single,Self-Employed,132859,38.43,738,15877,60,7.09,Home,6,26.56,0,1
238,58,Married,Self-Employed,98231,31.55,631,24178,36,13.59,Personal,1,87.02,3,0
239,25,Married,Unemployed,111937,44.64,555,14584,36,17.43,Education,3,21.37,5,1
240,39,Divorced,Contract,69174,28.08,395,31401,60,16.25,Auto,3,86.02,2,1
241,59,Single,Employed,115804,48.89,666,9150,60,10.97,Education,6,26.95,2,1
242,42,Married,Self-Employed,91737,33.12,796,27527,12,5.69,Education,0,19.94,1,0
243,50,Married,Employed,145571,27.11,435,47598,36,7.38,Auto,0,62.37,2,1
244,27,Married,Unemployed,26787,25.85,612,20344,48,14.83,Personal,0,27.07,0,0
245,30,Divorced,Unemployed,88084,37.2,309,5528,36,17.26,Education,5,20.57,0,1
246,36,Married,Employed,115782,42.24,405,25535,36,18.21,Home,3,71.88,1,1
247,63,Divorced,Unemployed,28966,31.22,308,44997,24,11.6,Home,5,69.86,3,1
248,61,Divorced,Contract,132717,18.69,402,14175,12,13.84,Education,2,87.06,2,1
249,30,Single,Self-Employed,104491,13.37,591,6757,36,8.08,Home,5,41.34,5,1
250,25,Single,Contract,70578,14.51,811,46817,60,6.07,Personal,2,84.71,1,0
251,46,Divorced,Contract,67895,31.85,476,35868,12,5.25,Personal,0,30.97,0,1
252,25,Married,Self-Employed,102388,38.51,725,32759,48,6.24,Home,2,16.69,0,0
253,54,Single,Unemployed,90305,23.07,367,25327,48,15.95,Home,0,29.56,3,1
254,29,Married,Employed,60539,36.64,479,12827,12,15.62,Personal,1,49.71,2,1
255,55,Divorced,Self-Employed,41884,24.87,575,12736,12,10.03,Education,2,51.91,2,1
256,58,Divorced,Employed,85031,28.21,668,8633,48,17.89,Home,2,22.58,0,0
257,58,Divorced,Employed,49937,39.63,302,7886,12,8.67,Education,2,40.64,1,1
258,33,Single,Contract,49427,22.87,726,25967,36,17.39,Auto,0,50.16,0,0
259,33,Single,Employed,145053,26.04,776,23501,36,9.91,Education,0,39.51,2,0
260,58,Married,Unemployed,80807,24.73,805,17807,60,16.41,Home,1,10.51,3,0
261,23,Single,Self-Employed,103354,43.58,309,26955,12,16.38,Education,6,69.05,2,1
262,28,Single,Unemployed,75026,29.68,361,14330,36,6.4,Home,6,51.58,5,1
263,45,Married,Employed,96122,13.82,436,46760,48,6.12,Personal,3,63.0,1,1
264,37,Married,Self-Employed,131530,22.6,702,26381,36,11.79,Home,0,85.48,1,0
265,59,Single,Unemployed,33848,16.57,777,25580,48,6.81,Auto,6,26.61,2,1
266,51,Married,Employed,31851,16.3,611,44538,12,8.23,Auto,1,17.3,1,0
267,44,Married,Employed,108759,21.95,478,7036,48,17.82,Home,0,46.96,1,1
268,29,Single,Employed,128838,41.24,527,13566,24,17.36,Auto,5,60.42,5,1
269,27,Divorced,Self-Employed,140249,42.51,322,9225,24,18.54,Education,6,20.3,2,1
270,29,Single,Contract,26637,16.72,743,30886,48,5.44,Education,1,38.32,1,0
271,39,Married,Contract,135792,15.95,551,47420,36,12.48,Education,0,17.02,3,1
272,30,Married,Unemployed,104233,45.39,838,21328,60,16.92,Education,6,67.07,3,1
273,56,Married,Self-Employed,139626,32.63,629,30452,36,7.7,Auto,4,27.52,2,1
274,25,Married,Self-Employed,120511,33.36,538,15461,12,8.72,Home,2,52.7,5,1
275,25,Single,Contract,66504,47.41,477,16540,24,13.89,Auto,4,12.26,5,1
276,44,Divorced,Unemployed,93807,47.93,804,40528,36,7.63,Personal,0,14.49,4,1
277,36,Single,Contract,20089,23.27,506,13551,36,15.75,Auto,0,11.75,4,1
278,31,Single,Self-Employed,145902,12.9,705,43405,12,10.05,Auto,1,88.07,5,0
279,49,Divorced,Contract,105089,22.69,665,19630,60,17.22,Education,2,68.72,2,0
280,30,Single,Employed,144359,38.08,700,42190,12,7.73,Auto,6,87.4,1,1
281,62,Divorced,Employed,142773,29.85,639,10099,24,10.2,Auto,1,60.89,0,0
282,64,Divorced,Self-Employed,78540,10.46,514,21353,12,10.26,Personal,5,10.1,3,1
283,50,Divorced,Contract,147022,16.65,723,37314,48,10.27,Education,0,76.3,4,0
284,63,Divorced,Unemployed,41319,28.05,334,24327,12,9.78,Personal,0,37.34,3,1
285,32,Divorced,Employed,91702,47.67,395,27147,60,19.78,Education,5,12.48,5,1
286,32,Divorced,Contract,40591,12.14,639,18470,24,11.14,Auto,5,32.52,1,1
287,28,Single,Contract,94943,31.99,802,15065,12,10.41,Education,0,33.56,5,0
288,62,Divorced,Contract,46171,13.88,511,16195,36,19.66,Education,6,19.24,3,1
289,52,Married,Self-Employed,31945,35.67,696,17116,36,18.28,Auto,1,45.66,2,0
290,50,Married,Self-Employed,49654,43.48,363,14904,12,6.29,Auto,6,53.32,4,1
291,36,Divorced,Employed,130204,25.48,835,32435,60,15.31,Education,4,80.53,3,1
292,41,Single,Contract,138328,44.16,335,37905,60,18.51,Home,0,85.94,3,1
293,33,Single,Unemployed,125966,17.71,343,32746,12,19.82,Education,1,89.78,5,1
294,31,Divorced,Self-Employed,61910,46.43,368,10703,48,13.35,Auto,6,32.1,3,1
295,22,Divorced,Contract,34748,26.58,451,42132,60,13.74,Personal,0,55.01,0,1
296,40,Divorced,Self-Employed,135067,26.44,692,47912,48,13.58,Education,0,23.78,3,0
297,31,Divorced,Contract,25083,25.83,639,20569,12,16.19,Auto,2,11.62,2,0
298,41,Married,Contract,132490,37.85,400,19939,24,9.51,Education,6,76.07,2,1
299,48,Divorced,Employed,44633,27.67,716,36749,60,18.01,Personal,4,73.32,0,1
300,41,Divorced,Contract,37779,41.22,836,42268,12,7.61,Home,6,14.61,0,1
301,51,Single,Self-Employed,112357,17.96,677,35423,60,10.95,Personal,5,12.45,2,1
302,53,Divorced,Contract,43276,48.42,785,43461,60,10.25,Home,6,81.56,5,1
303,27,Married,Employed,70667,11.99,519,19506,24,15.17,Auto,5,42.76,0,1
304,65,Single,Contract,139474,15.29,477,44396,12,8.36,Auto,5,87.36,5,1
305,39,Married,Contract,131619,23.95,558,19300,48,9.53,Education,4,18.18,4,1
306,64,Married,Self-Employed,59121,37.38,793,9183,36,19.83,Auto,6,32.15,5,1
307,63,Married,Unemployed,39651,30.69,546,8720,60,11.06,Auto,5,21.19,0,1
308,63,Married,Self-Employed,54003,46.28,714,30445,12,13.75,Home,2,68.12,1,1
